item_id,item_name
0,Carnegie Mellon University
1,Univ. of Illinois at Urbana-Champaign
2,Cornell University
3,Stanford University
4,Univ. of California - San Diego
5,University of Washington
6,Massachusetts Institute of Technology
7,University of Massachusetts Amherst
8,University of Michigan
9,Univ. of California - Los Angeles
10,University of Maryland - College Park
11,Rutgers University
12,Columbia University
13,Georgia Institute of Technology
14,Univ. of California - Berkeley
15,University of Pennsylvania
16,University of Southern California
17,Northeastern University
18,University of Texas at Austin
19,New York University
20,Pennsylvania State University
21,University of Illinois at Chicago
22,Univ. of California - Santa Barbara
23,University of Pittsburgh
24,Johns Hopkins University
25,Arizona State University
26,University of Wisconsin - Madison
27,Stony Brook University
28,Princeton University
29,Purdue University
30,Duke University
31,University at Buffalo
32,Boston University
33,University of Texas at Dallas
34,Brown University
35,University of North Carolina
36,Univ. of California - Irvine
37,University of Virginia
38,Univ. of California - Santa Cruz
39,Michigan State University
40,Harvard University
41,Rice University
42,Oregon State University
43,Texas A&M University
44,University of Rochester
45,University of Central Florida
46,Ohio State University
47,George Mason University
48,University of Minnesota
49,Northwestern University
50,TTI Chicago
51,University of Notre Dame
52,Univ. of California - Riverside
53,University of Colorado Boulder
54,University of Utah
55,Temple University
56,University of Chicago
57,Univ. of California - Davis
58,Virginia Tech
59,Rochester Institute of Technology
60,Washington University in St. Louis
61,Yale University
62,Emory University
63,Worcester Polytechnic Institute
64,University of Oregon
65,Stevens Institute of Technology
66,Univ. of California - Merced
67,Binghamton University
68,Indiana University
69,Brandeis University
70,University of Iowa
71,University of Arizona
72,California Institute of Technology
73,Iowa State University
74,University of Florida
75,University of Texas at Arlington
76,Tulane University
77,University of Houston
78,Rensselaer Polytechnic Institute
79,University of Delaware
80,University of Georgia
81,Washington State University
82,Brigham Young University
83,Lehigh University
84,North Carolina State University
85,CUNY
86,Illinois Institute of Technology
87,Syracuse University
88,University of Massachusetts Lowell
89,Georgetown University
90,Univ. of Maryland - Baltimore County
91,University of Connecticut
92,George Washington University
93,NJIT
94,Tufts University
95,University of Kentucky
96,University of New Hampshire
97,University of South Carolina
98,Dartmouth College
99,Case Western Reserve University
100,Drexel University
101,Wayne State University
102,Colorado School of Mines
103,University of Arkansas
104,Vanderbilt University
105,West Virginia University
106,Boston College
107,UNC - Charlotte
108,University of Louisiana - Lafayette
109,Florida State University
110,UCCS
111,University of North Texas
112,College of William and Mary
113,Florida International University
114,University of Nebraska
115,University of Tennessee
116,Auburn University
117,Clemson University
118,Portland State University
119,University of Memphis
120,Old Dominion University
121,University of Kansas
122,Boise State University
123,Colorado State University
124,DePaul University
125,IUPUI
126,University of Nevada
127,Cleveland State University
128,Georgia State University
129,Kansas State University
130,Kent State University
131,New Mexico State University
132,University of Massachusetts Boston
133,University of Missouri
134,University of Texas - El Paso
135,Wichita State University
136,Michigan Technological University
137,Mississippi State University
138,OHSU
139,Texas Tech University
140,University at Albany - SUNY
141,University of Alabama - Birmingham
142,University of Nebraska - Omaha
143,University of South Florida
144,University of Southern Mississippi
145,Virginia Commonwealth University
146,Augusta University
147,Missouri S&T
148,Simmons University
149,Texas State University
150,The University of Alabama
151,Towson University
152,UNC - Greensboro
153,University of Cincinnati
154,University of Michigan-Dearborn
155,University of Texas at San Antonio
156,Florida Atlantic University
157,Louisiana State University
158,Northern Arizona University
159,Nova Southeastern University
160,Ohio University
161,Oklahoma State University
162,University of Hawaii at Manoa
163,University of Miami
164,University of Missouri - Kansas City
165,University of Oklahoma
166,University of Tulsa
167,University of Vermont
168,Utah State University
169,Missouri University of Technology
170,Montana State University
171,University of Colorado - Denver
172,University of New Mexico
173,University of New Orleans
174,Western Michigan University
