item_name,AI-ML-data-mining,AI-NLP,AI-Vision,AI-Web-Retrieval,AI-just-artificial-intelligence
ASU,58,25,34,28,4
Auburn,82,96,117,120,139
Augusta,115,121,128,121,139
Binghamton,84,81,68,65,49
Boise State,137,83,128,72,149
Boston College,90,77,85,121,132
BU,16,65,14,23,90
Brandeis University,87,53,80,77,78
Brigham Young University,105,69,100,77,76
Brown University,43,31,31,35,43
CUNY,107,66,91,99,87
California Institute of Technology,55,121,42,86,121
CMU,1,2,1,5,1
Case Western Reserve University,98,75,128,77,89
Clemson University,137,121,78,121,114
Cleveland State University,146,121,95,121,130
College of William and Mary,101,120,103,91,125
Colorado School of Mines,107,121,87,86,72
Colorado State University,137,121,76,121,130
Columbia University,12,15,13,24,25
Cornell,6,3,9,2,8
Dartmouth College,88,69,117,86,117
DePaul University,125,96,128,121,112
Drexel University,96,87,87,121,83
Duke University,17,38,35,52,30
Emory University,75,50,113,11,70
Florida Atlantic University,147,121,128,121,148
Florida International University,135,81,87,121,123
Florida State University,95,103,117,120,98
George Mason University,61,49,48,42,33
George Washington University,147,46,76,95,123
Georgetown University,117,47,128,56,114
Georgia Institute of Technology,23,20,15,12,32
Georgia State University,100,113,112,121,160
Harvard University,26,67,57,45,2
IUPUI,85,121,127,121,139
Illinois Institute of Technology,107,88,73,57,95
Indiana University,51,88,64,95,84
Iowa State University,68,83,105,65,63
Johns Hopkins University,33,4,7,121,49
Kansas State University,131,113,128,99,125
Kent State University,101,121,128,120,132
Lehigh University,93,95,100,55,67
Louisiana State University,147,121,128,111,149
Massachusetts Institute of Technology,4,18,6,50,15
Michigan State University,50,68,16,34,34
Michigan Technological University,147,103,128,121,118
Mississippi State University,147,120,128,121,112
Missouri S&T,117,121,128,121,139
Missouri University of Technology,147,121,128,121,149
Montana State University,143,121,128,121,160
NJIT,85,121,105,61,80
New Mexico State University,147,121,128,121,86
New York University,13,10,45,21,56
North Carolina State University,113,76,128,48,45
Northeastern University,29,38,27,13,9
Northern Arizona University,143,121,128,99,160
Northwestern University,25,61,79,41,54
Nova Southeastern University,137,121,113,121,160
OHSU,147,77,113,121,160
Ohio State University,35,37,64,25,62
Ohio University,147,121,128,121,139
Oklahoma State University,147,121,100,121,160
Old Dominion University,147,113,105,91,104
Oregon State University,48,23,21,121,36
Pennsylvania State University,41,25,32,10,19
Portland State University,147,103,46,121,159
Princeton University,10,36,28,42,74
Purdue University,21,47,68,7,22
Rensselaer Polytechnic Institute,61,103,128,83,28
Rice University,31,72,44,30,20
Rochester Institute of Technology,76,58,54,64,59
Rutgers University,18,35,23,3,7
Stanford,3,7,4,20,24
Syracuse University,79,121,91,71,73
Temple University,65,51,57,61,44
Texas A&M University,39,45,54,16,54
Texas State University,125,121,122,121,159
Texas Tech University,147,121,128,121,102
The University of Alabama,147,91,128,91,160
Tufts University,74,91,128,99,67
UT Austin,19,13,26,72,16
UIUC,5,12,5,1,13
